YEAR,MAKE,MODEL,TRIM,BODY,TRANSMISSION,VIN,STATE,CONDITION,ODOMETER,COLOR,INTERIOR,SELLER,MMR,SELLINGPRICE,SALEDATE
2012,Honda,Odyssey,LX,Minivan,automatic,5fnrl5h24cb009338,ca,39,38076,gray,gray,ahfc/honda lease trust/hvt  inc. eot,15150,17400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Honda,Odyssey,EX,Minivan,automatic,5fnrl5h48cb029268,ca,38,32967,burgundy,beige,ahfc/honda lease trust/hvt  inc. eot,18050,20100,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2012,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h60cb003457,ca,36,34467,silver,brown,ahfc/honda lease trust/hvt  inc. eot,22300,22250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Honda,Odyssey,EX-L,Minivan,,5fnrl5h6xcb045814,ca,,45062,purple,—,barber honda,21700,21000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Honda,Odyssey,LX,Minivan,automatic,5fnrl5h22cb004798,ca,32,83734,beige,beige,onemain rem/m&m auto traders,12900,13700,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
2012,Honda,Odyssey,EX,Minivan,automatic,5fnrl5h41cb073757,ca,36,36351,gray,gray,ahfc/honda lease trust/hvt  inc. eot,17800,19100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Honda,Odyssey,Touring,Minivan,automatic,5fnrl5h96cb012352,ca,46,37403,silver,gray,barber honda,26800,26500,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2011,Honda,Odyssey,EX-L,Minivan,,5fnrl5h6xbb097801,ca,28,51722,gray,gray,cox fleet,18600,18900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2010,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl3h6xab026116,ca,33,82376,silver,gray,myrddin fleet services,15050,13500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2010,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl3h60ab063188,ca,24,68318,black,gray,eddies memories,14700,13250,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2010,Honda,Odyssey,LX,Minivan,automatic,5fnrl3h27ab080213,ca,27,79116,white,tan,high bid trading co inc,9825,12500,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2010,Honda,Odyssey,LX,Minivan,automatic,5fnrl3h29ab037556,ca,28,62522,gray,gray,aaero sweet company,10750,13000,Wed Jan 07 2015 12:00:00 GMT-0800 (PST)
2009,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38609b408666,ca,24,87540,blue,gray,high bid trading co inc,11200,12500,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2008,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38778b103737,ca,47,76168,white,tan,california republic bank,11600,15000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2008,Honda,Odyssey,EX,Minivan,automatic,5fnrl38468b067724,ca,19,72528,gray,gray,ecars,9625,9600,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2007,Honda,Odyssey,Touring,Minivan,automatic,5fnrl38857b025224,ca,,129022,white,—,livermore toyota and livermore scion,7475,8500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2007,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38647b451212,ca,,142916,green,—,detroit west auto wholesale,6450,4900,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2007,Honda,Odyssey,LX,Minivan,,5fnrl38217b142813,ca,,104102,gray,—,dutton motor co,5450,6800,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2007,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38787b422174,ca,,119903,gold,—,concord honda,7450,8100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2007,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38757b423718,ca,25,135617,silver,black,onemain rem/cars galore,6725,7700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2006,Honda,Odyssey,EX,Minivan,automatic,5fnrl38446b401763,ca,36,180282,gold,tan,honda cars of corona,3350,4900,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2006,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38666b415567,ca,2,154619,gray,gray,enterprise car sales/orange,5150,6200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2006,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38716b012752,ca,25,108841,white,beige,honda world,6700,6800,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
2006,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38666b439321,ca,32,156780,silver,gray,tidalwave finance corp,4875,6000,Wed Dec 31 2014 12:05:00 GMT-0800 (PST)
2006,Honda,Odyssey,Touring,Minivan,automatic,5fnrl38886b067062,ca,,195787,silver,—,wegge motor cars a corporation,3775,4900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2005,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38705b114624,ca,,149801,silver,—,honda of stevens creek,4700,5100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2005,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38665b049950,ca,,143973,silver,gray,honda of escondido,4775,4100,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2005,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38615b411540,ca,27,97445,silver,gray,jpmorgan chase bank n.a.,6000,7000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2004,Honda,Odyssey,LX,Minivan,automatic,5fnrl18564b060392,ca,19,167934,gold,tan,coast acceptance corp,1925,1700,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2004,Honda,Odyssey,EX-L,Minivan,,5fnrl18914b001155,ca,,158395,blue,—,bargain autos,2375,3000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2003,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl18063b127639,ca,,142703,silver,—,advantage auto sales inc,2675,2800,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Honda,Odyssey,EX,Minivan,automatic,2hkrl18632h529574,ca,24,154202,silver,gray,car connection inc,1925,1950,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
