YEAR,MAKE,MODEL,TRIM,BODY,TRANSMISSION,VIN,STATE,CONDITION,ODOMETER,COLOR,INTERIOR,SELLER,MMR,SELLINGPRICE,SALEDATE
2013,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk5dr275482,ca,38,38882,red,beige,avis corporation,13200,13500,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Toyota,Camry,XLE,Sedan,automatic,4t1bk1fk0du529833,ca,5,2575,black,gray,the car exchange,21800,22000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk4du208401,ca,,59291,black,—,jimmy vasser toyota,12550,13800,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk2dr316831,ca,44,13948,beige,beige,toyota financial services,14950,14900,Tue Dec 23 2014 00:00:00 GMT-0800 (PST)
2013,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk5du259552,ca,38,30392,black,black,jpmorgan chase bank n.a.,15200,15700,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Camry,L,Sedan,automatic,4t1bf1fk4du283826,ca,2,31300,silver,black,enterprise vehicle exchange / tra / rental / tulsa,13350,11200,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk6cu084288,ca,28,52277,black,black,toyota financial services,13550,12900,Tue Dec 23 2014 00:00:00 GMT-0800 (PST)
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fkxcu022487,ca,29,82708,black,black,california republic bank,12000,12200,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk6cu095761,ca,,41266,gray,blue,hertz/tra,14000,4750,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fkxcu063573,ca,28,28605,silver,black,onemain rem/m&m auto traders,14750,15200,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Toyota,Camry,SE,Sedan,automatic,4t1bk1fkxcu517509,ca,44,27262,—,black,toyota financial services,16900,18200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,Toyota,Camry,SE,Sedan,automatic,4t1bf3ek4bu764329,ca,45,19131,black,black,bmw alphera/alphera financial services,13700,15600,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,Toyota,Camry,LE,Sedan,automatic,4t4bf3ek2br150756,ca,2,40794,gray,gray,wells fargo dealer services,11300,10300,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2011,Toyota,Camry,Base,Sedan,automatic,4t4bf3ek9br206711,ca,2,45353,gray,gray,remarketing by ge/flagship credit acceptance,11250,9250,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2011,Toyota,Camry,Base,Sedan,,4t1bf3ek5bu774920,ca,,34584,white,—,manheim san diego,11300,11700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,Toyota,Camry,SE,Sedan,automatic,4t1bf3ek5bu621955,ca,2,92494,white,black,santander consumer,10150,9500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2011,Toyota,Camry,LE,Sedan,automatic,4t4bf3ek1br116677,ca,26,27957,white,gray,jordan auto,12050,11000,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
2011,Toyota,Camry,LE,Sedan,automatic,4t1bf3ek5bu175709,ca,35,95309,gray,gray,first investors servicing corp,8725,8900,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2011,Toyota,Camry,LE,Sedan,automatic,4t1bf3ek7bu760873,ca,28,44746,silver,gray,toyota financial services,11100,11000,Tue Dec 23 2014 00:00:00 GMT-0800 (PST)
2011,Toyota,Camry,LE,Sedan,automatic,4t4bf3ek7br162238,ca,26,49997,white,gray,skyhigh remarketing inc,10850,10750,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
